
Analyzing costs by decision style for 'origin' and 'rev'...

Benchmark Decision Style Cost Comparison Table:
----------------------------------------------------------------------------------------------------
Benchmark            Style                       origin                rev         Diff        Diff%
----------------------------------------------------------------------------------------------------
400.perlbench        GatherScatter                 0.00             512.00       512.00         inf%
400.perlbench        Interleave                    0.00             214.00       214.00         inf%
400.perlbench        Widen                         0.00             622.00       622.00         inf%
400.perlbench        Widen_Reverse                 0.00            1260.00      1260.00         inf%
401.bzip2            GatherScatter                 0.00            2216.00      2216.00         inf%
401.bzip2            Widen                         0.00             440.00       440.00         inf%
401.bzip2            Widen_Reverse                 0.00             215.00       215.00         inf%
403.gcc              GatherScatter                 0.00            3002.00      3002.00         inf%
403.gcc              Interleave                    0.00              90.00        90.00         inf%
403.gcc              Scalarize                     0.00               8.00         8.00         inf%
403.gcc              Widen                         0.00            1328.00      1328.00         inf%
403.gcc              Widen_Reverse                 0.00             892.00       892.00         inf%
429.mcf              GatherScatter                 0.00             344.00       344.00         inf%
429.mcf              Widen                         0.00               6.00         6.00         inf%
445.gobmk            GatherScatter                 0.00           11278.00     11278.00         inf%
445.gobmk            Interleave                    0.00              37.00        37.00         inf%
445.gobmk            Widen                         0.00            2472.00      2472.00         inf%
450.soplex           GatherScatter                 0.00            1052.00      1052.00         inf%
450.soplex           Scalarize                     0.00              16.00        16.00         inf%
450.soplex           Widen                         0.00             866.00       866.00         inf%
450.soplex           Widen_Reverse                 0.00             487.00       487.00         inf%
453.povray           GatherScatter                 0.00            1408.00      1408.00         inf%
453.povray           Interleave                    0.00             140.00       140.00         inf%
453.povray           Widen                         0.00             740.00       740.00         inf%
453.povray           Widen_Reverse                 0.00             266.00       266.00         inf%
456.hmmer            GatherScatter                 0.00             244.00       244.00         inf%
456.hmmer            Interleave                    0.00              20.00        20.00         inf%
456.hmmer            Widen                         0.00             754.00       754.00         inf%
456.hmmer            Widen_Reverse                 0.00              80.00        80.00         inf%
458.sjeng            GatherScatter                 0.00             252.00       252.00         inf%
458.sjeng            Widen                         0.00              94.00        94.00         inf%
464.h264ref          GatherScatter                 0.00           21272.00     21272.00         inf%
464.h264ref          Interleave                    0.00             116.00       116.00         inf%
464.h264ref          Widen                         0.00            5490.00      5490.00         inf%
464.h264ref          Widen_Reverse                 0.00             126.00       126.00         inf%
471.omnetpp          Widen                         0.00             108.00       108.00         inf%
473.astar            GatherScatter                 0.00              28.00        28.00         inf%
473.astar            Widen                         0.00              48.00        48.00         inf%
----------------------------------------------------------------------------------------------------
