
Benchmark Instruction Count Comparison Table:
----------------------------------------------------------------------------------------------------
Benchmark               Origin Count            Rev Count                 Diff                Diff%
----------------------------------------------------------------------------------------------------
astar_0              410,921,625,178      410,921,625,313                  135                 0.00%
astar_1              837,874,555,223      837,874,555,317                   94                 0.00%
bzip2_0              506,867,154,268      506,520,356,512         -346,797,756                -0.07%
bzip2_1              207,816,936,542      207,875,170,022           58,233,480                 0.03%
bzip2_2              380,736,390,478      380,764,929,210           28,538,732                 0.01%
bzip2_3              621,420,482,378      621,277,906,609         -142,575,769                -0.02%
bzip2_4              904,750,680,740      904,682,842,709          -67,838,031                -0.01%
bzip2_5              404,281,300,327      404,054,078,870         -227,221,457                -0.06%
gcc_0                 81,243,497,248       81,221,641,452          -21,855,796                -0.03%
gcc_1                166,835,989,405      166,768,284,489          -67,704,916                -0.04%
gcc_2                138,885,561,883      138,878,813,871           -6,748,012                -0.00%
gcc_3                103,083,745,419      103,095,768,318           12,022,899                 0.01%
gcc_4                111,043,467,825      111,020,905,988          -22,561,837                -0.02%
gcc_5                148,687,126,078      148,655,508,001          -31,618,077                -0.02%
gcc_6                182,936,748,764      182,853,636,580          -83,112,184                -0.05%
gcc_7                168,020,922,512      167,965,579,607          -55,342,905                -0.03%
gcc_8                 66,361,747,720       66,365,642,682            3,894,962                 0.01%
gobmk_0              257,777,598,240      257,777,598,255                   15                 0.00%
gobmk_1              688,602,126,118      688,602,126,133                   15                 0.00%
gobmk_2              362,853,417,071      362,853,417,086                   15                 0.00%
gobmk_3              261,907,114,437      261,907,114,452                   15                 0.00%
gobmk_4              375,650,352,807      375,650,352,822                   15                 0.00%
h264ref_0            533,623,603,434      533,623,605,485                2,051                 0.00%
h264ref_1            463,539,878,974      463,539,881,087                2,113                 0.00%
h264ref_2          4,280,049,838,875    4,280,049,845,519                6,644                 0.00%
hmmer_0            1,027,435,725,584    1,027,435,725,671                   87                 0.00%
hmmer_1            2,193,890,163,162    2,193,890,163,461                  299                 0.00%
mcf_0                294,612,500,608      294,612,500,947                  339                 0.00%
omnetpp_0            629,865,731,116      629,865,731,268                  152                 0.00%
perlbench_0        1,370,306,996,341    1,370,295,920,579          -11,075,762                -0.00%
perlbench_1          487,758,285,939      487,759,628,045            1,342,106                 0.00%
perlbench_2          823,064,520,621      823,049,975,940          -14,544,681                -0.00%
povray_0           1,007,198,113,368    1,007,198,143,617               30,249                 0.00%
sjeng_0            2,897,572,472,424    2,897,572,472,616                  192                 0.00%
soplex_0             388,500,804,603      388,499,977,448             -827,155                -0.00%
soplex_1             448,399,747,658      448,396,862,460           -2,885,198                -0.00%
----------------------------------------------------------------------------------------------------
